COURSEID,TITLE,SESSION,DAY,START_TIME,END_TIME,LOCATION,INSTRUCTOR
PATH-551,"Pathobiology of Disease",046,T,10:00,11:50,OFFICE,"Louis Dubeau"
PATH-551,"Pathobiology of Disease",046,H,10:00,11:50,OFFICE,"Louis Dubeau"
PATH-554,"Methods in Molecular Pathology",046,W,13:00,14:50,TBA,"Florence Hofman"
PATH-573,"Systems Physiology and Disease II",046,T,13:00,15:00,MMR,"Harvey Kaslow"
PATH-573,"Systems Physiology and Disease II",046,H,13:00,15:00,MMR,"Harvey Kaslow"
PATH-575,"Frontiers of Pathology",046,H,12:00,13:50,OFFICE,"Kinji Asahina"
PR-209,"Effective Writing for Strategic Public Relations",001,W,18:00,21:20,ANN,"Jacqueline Liu"
PR-209,"Effective Writing for Strategic Public Relations",001,T,12:30,15:50,ANN,"Ron Grover"
PR-209,"Effective Writing for Strategic Public Relations",001,M,09:00,12:20,ANN,"Patrick Maio"
PR-250,"Strategic Public Relations: An Introduction",001,M,14:00,17:20,ANN,"Su Jung Kim"
PR-250,"Strategic Public Relations: An Introduction",001,W,14:00,17:20,ANN,"Aimei Yang"
PR-340,"Introduction to Advertising",001,T,14:00,17:20,ANN,"Eunjin (anna) Kim"
PR-340,"Introduction to Advertising",001,M,18:30,21:50,ANN,"Kimberly Getty"
PR-343,"Advertising Design and Production",001,M,14:00,17:20,ANN,"Victoria Arriola"
PR-351A,"Strategic Public Relations Media and Content",001,M,18:00,21:20,ANN,"Stefan Pollack"
PR-351A,"Strategic Public Relations Media and Content",001,H,18:00,21:20,ANN,"Stefan Pollack"
PR-351A,"Strategic Public Relations Media and Content",001,T,14:00,17:20,ANN,"Cindy Dole"
PR-351A,"Strategic Public Relations Media and Content",001,W,09:00,12:20,ANN,"Kate Jacobs"
PR-351B,"Strategic Public Relations Media and Content",001,W,09:00,12:20,ANN,"Jennifer De La Fuente"
PR-351B,"Strategic Public Relations Media and Content",001,H,14:00,17:20,ANN,"Jennifer Floto"
PR-352,"Public Relations Media and Content for Non-Majors",001,H,14:00,17:20,ANN,"Stefan Pollack"
PR-428,"Social, Legal and Ethical Foundations of Public Relations",001,M,18:00,21:20,ANN,"Terri Austin"
PR-428,"Social, Legal and Ethical Foundations of Public Relations",001,W,14:00,17:20,ASC,"Laura Jackson"
PR-428,"Social, Legal and Ethical Foundations of Public Relations",001,H,14:00,17:20,ASC,"Susan Gavigan"
PR-429,"Business and Economic Foundations of Public Relations",001,T,18:00,21:20,ANN,"Jay Wang"
PR-429,"Business and Economic Foundations of Public Relations",001,M,18:00,21:20,ANN,"David Stamper"
PR-450,"Advanced Strategic Public Relations",001,W,14:00,17:20,ANN,"Jennifer Floto"
PR-450,"Advanced Strategic Public Relations",001,H,18:30,21:50,ANN,"Stephen Jones"
PR-450,"Advanced Strategic Public Relations",001,M,09:00,12:20,"ANN L","Brenda Lynch"
PR-450,"Advanced Strategic Public Relations",001,T,14:00,17:20,"ANN L","Burghardt Tenderich"
PR-454,"Sports Public Relations",001,M,18:30,20:10,ANN,"Jeffrey Moeller"
PR-457,"The Role of Celebrity in Public Relations",001,H,18:30,21:50,"ANN L","Jennie O'Hagan"
PR-463,"Strategic Public Relations Research, Analysis and Insights",001,H,09:00,12:20,ASC,"Eunjin (anna) Kim"
PR-463,"Strategic Public Relations Research, Analysis and Insights",001,W,14:00,17:20,ASC,"Su Jung Kim"
PR-478,"Social Media Analytics: Data and Content Creation for Real-time Public Relations",001,T,14:00,17:20,ANN,"Matthew Leveque"
PR-486,"Multimedia PR Content: Introduction to Digital Design Tools",001,H,12:00,13:40,ANN,"Jennifer De La Fuente"
PR-487,"Multimedia PR Content: Introduction to Audio/Video Tools",001,H,16:00,17:40,ANN,"Leslie Ridings"
PR-498,"Public Relations Honors Seminar",001,T,14:00,15:50,ASC,"Fred Cook"
PR-499,"Special Topics",001,T,18:00,21:20,ASC,"Robert Kozinets"
PR-499,"Special Topics",001,M,14:00,17:20,ANN,"Brenda Lynch"
PR-510,"Legal, Ethical and Social Foundations of Strategic Public Re",001,W,18:00,20:30,ANN,"Dave Quast"
PR-510,"Legal, Ethical and Social Foundations of Strategic Public Re",001,T,18:30,21:00,ANN,"Terri Austin"
PR-510,"Legal, Ethical and Social Foundations of Strategic Public Re",001,H,18:30,21:00,ANN,"Laura Jackson"
PR-527,"Multimedia Content Creation for Strategic Public Relations",001,M,14:00,16:30,ANN,"Matthew Leveque"
PR-527,"Multimedia Content Creation for Strategic Public Relations",001,H,18:30,21:00,ANN,"Robert Jones"
PR-527,"Multimedia Content Creation for Strategic Public Relations",001,W,18:30,21:00,ANN,"Melissa Robinson"
PR-527,"Multimedia Content Creation for Strategic Public Relations",001,T,18:30,21:00,ANN,"Gregory Bishop"
PR-529,"Business and Economic Foundations for Public Relations",001,M,18:00,20:30,ANN,"Burghardt Tenderich"
PR-529,"Business and Economic Foundations for Public Relations",001,W,18:30,21:00,ANN,"David Stamper"
PR-529,"Business and Economic Foundations for Public Relations",001,T,17:00,19:30,ASC,"Marianne Szymanski"
PR-565,"Corporate Public Relations and Reputation",001,M,18:30,21:00,ONLINE,"Jay Wang"
PR-598,"Graduate Honors Seminar: Improvisational Leadership",001,T,18:30,21:00,OFFICE,"Fred Cook"
PR-599,"Special Topics",001,W,18:00,20:30,ANN,"Aimei Yang"
MEDS-220,"Preparation for the Clinical Experience",001,M,12:00,13:50,THH,"Emily Rose"
MEDS-260,"Challenges in the Forefront of Biomedical Ethics",001,T,14:00,15:50,VKC,"Cheryl Lew"
MEDS-280,"The History of Medicine: a Doctor&apos;s Perspective",001,W,10:00,11:50,WPH,"Dennis Green"
